año,decada,era,mes,id_tiempo
1986.0,1980.0,Retro,5.0,518
2023.0,2020.0,Contemporánea,12.0,519
1979.0,1970.0,Retro,8.0,520
2022.0,2020.0,Contemporánea,12.0,521
1984.0,1980.0,Retro,12.0,522
1981.0,1980.0,Retro,12.0,523
1979.0,1970.0,Retro,11.0,524
1985.0,1980.0,Retro,2.0,525
2024.0,2020.0,Contemporánea,12.0,526
1975.0,1970.0,Retro,10.0,527
1973.0,1970.0,Retro,10.0,528
1980.0,1980.0,Retro,2.0,529
